chan1,chan4,math
-8.000727e-02,-4.000018e-02,-6.079985e+01
7.999273e-02,7.999982e-02,-7.079989e+01
-8.000727e-02,-4.000018e-02,-6.159985e+01
2.959992e+00,3.039998e+00,-6.679987e+01
3.039992e+00,3.079998e+00,-6.559987e+01
2.879992e+00,2.959998e+00,-6.159985e+01
3.039992e+00,2.959998e+00,-7.079989e+01
2.879992e+00,3.079998e+00,-6.079985e+01
3.039992e+00,2.959998e+00,-7.479990e+01
2.879992e+00,3.119998e+00,-6.359986e+01
3.039992e+00,2.959998e+00,-6.479987e+01
2.879992e+00,3.079998e+00,-6.759988e+01
3.039992e+00,3.079998e+00,-6.279986e+01
-7.271767e-06,-1.788139e-07,-7.359990e+01
7.999273e-02,-4.000018e-02,-6.559987e+01
-8.000727e-02,7.999982e-02,-6.759988e+01
7.999273e-02,-4.000018e-02,-7.159989e+01
-8.000727e-02,7.999982e-02,-6.159985e+01
7.999273e-02,-4.000018e-02,-7.879992e+01
-8.000727e-02,7.999982e-02,-6.159985e+01
7.999273e-02,-4.000018e-02,-6.559987e+01
-8.000727e-02,7.999982e-02,-5.959985e+01
-8.000727e-02,-4.000018e-02,-6.959988e+01
2.959992e+00,3.039998e+00,-6.759988e+01
2.879992e+00,3.079998e+00,-6.479987e+01
3.039992e+00,2.959998e+00,-7.479990e+01
3.039992e+00,3.079998e+00,-6.279986e+01
2.879992e+00,2.959998e+00,-6.879988e+01
